Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Filter
Baby,baby,64f77b64143a9b5db90fb3ce,64f77bd4478d30505a897e3a,Tue Sep 05 2023 19:04:52 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:52 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Bag,bag,64f77b64143a9b5db90fb3ce,64f77bd4f08cb55c8238534b,Tue Sep 05 2023 19:04:52 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:52 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Beverage,beverage,64f77b64143a9b5db90fb3ce,64f77bd56fd48fcde2d66ef9,Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Books,books,64f77b64143a9b5db90fb3ce,64f77bd57aa51205d7a4ffc5,Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Candle,candle,64f77b64143a9b5db90fb3ce,64f77bd5478d30505a897f21,Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Cosmetics,cosmetics,64f77b64143a9b5db90fb3ce,64f77bd5627ece3762ad55aa,Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),Cosmetics
Fashion,fashion,64f77b64143a9b5db90fb3ce,64f77bd53f5415b305ce5f99,Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Furniture,furniture,64f77b64143a9b5db90fb3ce,64f77bd58d155de4facb9eed,Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:53 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Home Appliances,home-appliances,64f77b64143a9b5db90fb3ce,64f77bd622b665e3fcde579a,Tue Sep 05 2023 19:04:54 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:54 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Home Decor,home-decor,64f77b64143a9b5db90fb3ce,64f77bd753e7213a0b09089e,Tue Sep 05 2023 19:04:55 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:55 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Homeware,homeware,64f77b64143a9b5db90fb3ce,64f77bd7ccb1ef0418bab717,Tue Sep 05 2023 19:04:55 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:55 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),Homeware
Jewelry,jewelry,64f77b64143a9b5db90fb3ce,64f77bd7720465e695513413,Tue Sep 05 2023 19:04:55 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:55 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
kitchenware,kitchenware,64f77b64143a9b5db90fb3ce,64f77bd77afaa6ed3e19fce5,Tue Sep 05 2023 19:04:55 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:55 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Musical Instruments,musical-instruments,64f77b64143a9b5db90fb3ce,64f77bd8658446bbef098f3e,Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Outdoor Gear,outdoor-gear,64f77b64143a9b5db90fb3ce,64f77bd81795470c51feeec2,Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Party,party,64f77b64143a9b5db90fb3ce,64f77bd8c524580f99ba939c,Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Perfume,perfume,64f77b64143a9b5db90fb3ce,64f77bd87afaa6ed3e19fd67,Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Pet Supplies,pet-supplies,64f77b64143a9b5db90fb3ce,64f77bd853e7213a0b090a67,Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Shoes,shoes,64f77b64143a9b5db90fb3ce,64f77bd81b9d50c279de4b8f,Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:56 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Skincare and cosmetics,skincareandcosmetics,64f77b64143a9b5db90fb3ce,64f77bd9e6d8f090a1915e3c,Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),Skincare and cosmetics
Sports,sports,64f77b64143a9b5db90fb3ce,64f77bd9eb3a3864f8369d5c,Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Stationery,stationery,64f77b64143a9b5db90fb3ce,64f77bd9c524580f99ba95af,Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Tech & gadgets,techgadgets,64f77b64143a9b5db90fb3ce,64f77bd90327e252e97bd562,Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),Tech & gadgets
Toys,toys,64f77b64143a9b5db90fb3ce,64f77bd9eb3a3864f8369d61,Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
Watch,watch,64f77b64143a9b5db90fb3ce,64f77bd9f37d38d91988dcf1,Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:04:57 GMT+0000 (Coordinated Universal Time),Tue Sep 05 2023 19:15:11 GMT+0000 (Coordinated Universal Time),
